,Title,Full_content,Date,Author,Source_link,Words_count,Negative_words,Positive_words,Sentence_count,Sentiment,News_type
0, ‘APC plans to disunite Nigerians with Muslim/Muslim ticket’  ,"A former Board of Trustees Chairman of the Peoples Democratic Party  Senator Walid Jibrin, has accused the All Progressives Congress of planning to disunite Nigerians with its Muslim/Muslim Ticket ahead of the 2023 general elections. Jibrin who is the Chairman of the PDP presidential and governorship campaign council in Nasarawa State made the accusation in the Awe Local Government Area of the state during his party’s zonal campaign rally on Thursday. Our correspondent reports that the APC presidential candidate, Bola Tinubu, a Muslim, had picked the former governor of Borno State, Kashim Shettima, who is also a Muslim as his running mate ahead of the poll. The development caused discontent along religious lines as many Christian faithful protested what they referred to as an attempt to “Islamise” the country. The action of the APC also forced some stakeholders of the Christian faith out of the party. Senator Jibrin said, “That singular unpatriotic gesture, coming at a time of rising security challenges confronting the nation is never a welcome development. “The apparent late excuses by Tinubu to justify what is clearly an anomaly, that his wife is a Pentecostal pastor, are lame and insulting to the sensibility of Nigerians. Related News  Zulum decries political violence in Borno  PDP primary: Court dismisses Ondo senator's appeal  Ex-Anambra gov aspirant laments exclusion from APC PCC “And with what the APC and its presidential candidate have done, it is obvious that Nigeria cannot be safe in the hands of the former governor of Lagos State whose decisions and actions could plunge the country into chaos.” Jibrin, however, said the country will be safer in the hands of the PDP, adding that the party’s presidential candidate, Atiku Abubakar and the Nasarawa state governorship candidate, David Ombugadu, are men of high intellect and composure who would ensure steady growth and development of the nation. He appealed to residents of the state to vote for all PDP candidates in the 2023 elections, promising that the party would tackle the numerous challenges confronting the nation by providing the dividends of democracy to the people. On the current disagreement between the party’s presidential candidate, Atiku Abubakar, and the Governor of Rivers state, Nyesom Wike, the former Board of Trustees Chairman said leaders of the party were making frantic efforts to settle the disputes before the commencement of the 2023 elections. “What is happening now in the PDP is a family matter. Alhaji Atiku and Governor Wike are brothers. As leaders, we are making efforts to address the issues, and we are hopeful that they will be resolved before the February 2023 elections. “I stepped down from my position as BoT chairman to allow peace to reign in the party and pave way for other party stakeholders who had never occupied my former position to do so. “I am confident that the PDP will retake the presidency and win many states during the forthcoming elections, so I am urging our party members and supporters to remain resolute in the struggle,” Walid Jibrin added.",2nd December 2022,Collins Sunday,"""https://punchng.com/apc-plans-to-disunite-nigerians-with-muslim-muslim-ticket/""",502,102,57,16,-0.09,Bad News
1, Abia judge threatened over APGA gov judgment  ,"Justice Evelyn Anyadike of the Federal High Court  Umuahia, Abia State, on Wednesday, said she received threats not to deliver ruling on the dispute over the governorship candidate of the All Progressives Grand Alliance in the state. An aspirant, Gen. Ijioma Ijioma, had dragged the governorship candidate of the party, Pro. Greg Ibe, before the court, seeking to cancel the party’s May 29, 2022 governorship primary that produced the latter. Ijioma had made allegations of manipulation, influence, use of thugs, and financial inducement, among others. He also claimed that Ibe was still a member of the Peoples Democratic Party when he emerged as the APGA governorship candidate and that he allegedly participated in the PDP’s governorship primary held on May 25. Delivering judgment in the matter, Anyadike held that the plaintiff failed to prove how the candidate was given undue advantage. Related News  Abia govt mourns ex-PDP chairman, Ogbulafor  Abia owing judges, doctors 30 months salaries – NLC  LP blasts PDP as flood submerges Abia market She thereafter affirmed the candidature of Ibe. Anyadike told the court that she got a phone call the night before as someone threatened her not to deliver the judgment. However, she warned those behind the threat to retrace their steps, vowing that no amount of intimidation would stop her from discharging her duties. “I’m under oath to dispense justice without fear or favour, and no man born of a woman will stop me from doing my job,” she said.",2nd December 2022,Sunday Nwakanma,"""https://punchng.com/abia-judge-threatened-over-apga-gov-judgment/""",245,68,26,11,-0.17,Bad News
2," Oyetola, Adeleke disagree over N76bn unpaid salaries, pensions  ","The Osun State Government has said the immediate past administration left a debt portfolio of N76bn in unpaid salaries  pensions, and insurance commitments. A statement by the spokesperson for the governor, Olawale Rasheed, obtained in Osogbo on Thursday, said the figure was given by the Permanent Secretary, Ministry of Finance, Mrs Bimpe Ogunlumade, while briefing officials of the new administration on the financial status of the state. The statement read in part, “The breakdown of the salaries and pension-related liabilities as disclosed by the permanent secretary are as follows: Salary: N29,875,191,128.64; Pension Arrears: N45,375,237,693.40; and Group Life Assurance Scheme: N554,644,028.97; giving a total of N75,805,072,851.01.” It further said the disclosure was contrary to the claim by the ex-governor, Adegboyega Oyetola, that he left a sum of N14bn in cash for the new government. The state government stated that the figure was not the total debt left by the past administration, as briefings on other sources of liabilities had not been completed. Meanwhile, Governor Ademola Adeleke has ordered the submission of a salary schedule to the relevant office within the next 24 hours. Related News  Tribunal: Lawyers disagree over Adeleke’s blurred certificates  Tribunal: INEC presents blurry Adeleke's testimonial, Oyetola kicks  Oyetola left N76bn debt, says Osun govt A statement by his spokesperson, Rasheed, stated that Adeleke issued the directive after taking a briefing from the state Ministry of Finance. “Top officials of the ministry had attributed the delay in salary payment to the failure of some agencies to submit their salary schedules on time. “Governor Adeleke consequently directed the immediate conclusion of the processes, affirming that his administration is averse to the inconveniences the delay has forced on the state work force,” the statement added. However, while reacting, Ismail Omipidan, the media aide to the former governor said the administration did not owe salaries. Omipidan said, “For the umpteenth time, let me place it on record that for four years, we did not owe a dime in salary payments, while we made conscious efforts to reduce the backlog of pensions and gratuities we inherited. “This also explains why there hasn’t been a strike in four years. According to their calculations, we owed salaries for nearly a year. Is that possible? The labour union can also attest that we never left any salary unpaid during our tenure, and we did not take out any bank loans for four years.”",2nd December 2022,Bola Bamigbola,"""https://punchng.com/oyetola-adeleke-disagree-over-n76bn-unpaid-salaries-pensions/""",397,73,32,19,-0.1,Bad News
3," Lecturers block road, say Gbajabiamila’s intervention unfruitful  "," Members of the Academic Staff Union of Universities on Thursday continued to protest in their respective institutions as directed by the union’s national body. The peaceful protests held in different chapters to show displeasure at the withheld salaries of the union members after their eight-month strike. Lecturers at the Nnamdi Azikiwe University  Awka, blocked the Enugu-Onitsha Expressway, in protest of the half salary they received in October, the backlog of salaries and other poor working conditions. The protest, which kicked off at the union secretariat, continued down to the university gate by the Enugu-Onitsha highway, where the road was barricaded for some minutes. Speaking to journalists after the protest, the UNIZIK ASUU Chairman, Stephen Ufoaroh, said,  “As I speak to you, the intervention of the Speaker of the House of Representatives, Femi Gbajabiamila, has not yielded any positive result. “We are using this protest to ask the masses to appeal to the Federal Government to do the needful now to avert further crisis in the nation’s universities.” The Vice Chancellor of the university, Prof. Charles Esimone, in his solidarity message, said his heart was bleeding because of the deplorable conditions under which lecturers were working in the country. Related News  Gbajabiamila faults critics of student loans  Gbajabiamila, CSOs wade into NASS clerk retirement controversy  Re: Gbajabiamila lists reasons FG won’t pay ASUU fully In Owerri, Imo State, lecturers at the Federal University of Technology, stopped teaching on Thursday. While carrying placards with various inscriptions, the lecturers marched on the campus, accusing the FG of destroying the country’s academic system. Addressing the Vice Chancellor of the university, Prof. Nnenna Oti, the Chairman of ASUU in FUTO, Chinedu Ihejirika, accused the FG of “weaponising hunger to frustrate university lecturers in Nigeria.” Ihejirika, who urged the FG to implement the 2009 ASUU-FG agreement, vowed that no amount of intimidation would deter ASUU from demanding an improved public education system in Nigeria. He said, “Our cardinal demands are: funding for the revitalisation of Nigerian public universities (improved infrastructure, conducive teaching/learning environments, student and staff accommodations, equipment for laboratories and libraries, among others); payment of arrears of earned academic Allowances; deployment of the University Transparency and Accountability Solution, which addresses the peculiarities of academic staff in universities, among others. “We urge the government to stop forthwith the weaponisation of hunger to whip academics into submission and pay us all our withheld salaries spanning more than seven months. Strike all over the world is a legitimate tool to press home workers’ demands and grievances.”",2nd December 2022,Chidiebube Okeoma and Ikenna Obianeri,"""https://punchng.com/lecturers-block-road-say-gbajabiamilas-intervention-unfruitful/""",418,81,44,16,-0.09,Bad News
4, Kano anti-graft agency denies assault  ,"News on Wednesday night filtered in of an alleged assault on the Kano State Public Complaints and Anti-Corruption Commission’s suspended Chairman  Muhuyi Rimin-Gado, by the commission’s operatives. Two men from the agency were said to have stormed Rimin-Gado’s house in Sharada around 6.30pm in a tinted car, saying they had come to arrest him. A source said the operatives, who were without a warrant of arrest, insisted that they were at the house of Rimin-Gado on the orders of the acting Chairman, Balarabe Mahmud, to bring him (Rimin-Gado) to the commission. According to the source, a police inspector, identified as Aminu, tore the victim’s clothes while dragging the suspended chairman, as his neighbours overpowered the officer, who was later handed over to the police. Related News  2023: Journalists seek provision of adequate security  Fire guts primary school in Kano  We’ll win Kano by hook or crook – APC chairman However, in response to the incident, Rimin-Gado stated that it was attempted kidnapping because the said commission operative did not have any identification to show that he was from the agency. “There is even an existing court order that restrains the commission from arresting me,” Rimin-Gado added. The acting Chairman of the agency, Balarabe, denied the allegation of assault. He said, “You see, when the operative was at his residence and after introducing himself as a police officer, Rimin-Gado told him to leave his premises and threatened to shoot him. He later shot the tyres of the car of the police officer.”",2nd December 2022,Tukur Muntari,"""https://punchng.com/kano-anti-graft-agency-denies-assault/""",251,57,27,10,-0.12,Bad News
5," Ogun PDP: Adebutu bounces back, Lawal’s appeal dismissed  ","A Federal High Court in Abuja on Thursday dismissed a suit filed by an aspirant of the Peoples Democratic Party in Ogun State  Jimi Lawal, challenging the nomination of Oladipupo Adebutu as the party’s governorship candidate for the 2023 elections. The court held, among others, that Lawal failed to prove his claim that the PDP’s governorship primary held on May 25, 2022, was not validly conducted. Related News  A’Court reinstates Adebutu as Ogun PDP gov candidate  Ogun PDP: Appeal Court rules against fresh primary  Court to deliver judgment on Ogun PDP crisis December  Justice Inyang Ekwo, in a judgment held that Lawal failed to establish with credible evidence his claim that the register/list of voting delegates used during the governorship primary election was marked ‘statutory delegates’ and contained names of political appointees and other persons other than those of the ad-hoc delegates. The judge held that Lawal, who scored zero votes in the primary election, was only playing the role of a spoiler, having defected from the All Progressives Congress shortly before the primary election.",2nd December 2022,Friday Olokor,"""https://punchng.com/ogun-pdp-adebutu-bounces-back-lawals-appeal-dismissed/""",175,38,21,4,-0.1,Bad News
6,"EFCC secured 3,440 convictions in 2022 - Bawa  ","The Economic and Financial Crimes Commission has secured 3 440 convictions on financial and cyber crimes across the country from January to November 2022. The Chairman of the EFCC, Abdulrashid Bawa, disclosed this while delivering a goodwill message at the opening of a workshop on Financial Crimes Reporting organised by the commission. Bawa, represented by the Kano Zonal Commander, Farouk Dogondaji, also stated that the commission will work to ensure the enforcement of the Electoral Act in the 2023 general elections. “In terms of prosecution of cases in court, I am glad to inform you that, between January and November 25, this year, EFCC recorded 3,440 convictions. “The potentials for improvement are good as more ongoing cases are concluded in the remaining four weeks of the year. “Remarkable as this feat is, we are not resting on our laurels. We believe there is still a lot to be done which is the reason why we are actively seeking the support of all stakeholders, including the media. “On our part, we are working in close collaboration with the Independent National Electoral Commission, and other stakeholders to preserve the integrity of the electoral process. Related News  N260m fraud: Ex-Zamfara varsity VC jailed 35 years  N260m fraud: Zamfara varsity ex-VC bags 35-year imprisonment  EFCC to monitor designated non-financial professions, businesses  “We will ensure that the Electoral Act is fully enforced and those who seek to influence voters through financial inducement are brought to justice,” he said. Bawa also said that the commission would work to ensure the enforcement of the Electoral Act in the forthcoming 2023 general elections. The chairman described journalists as critical allies who were at the workshop to improve their capacity to be able to help in the fight against cyber and financial crimes in the country. Earlier, the deputy director, Legal and Prosecution, Aisha Tahar Habib, while presenting her paper gave a breakdown of both civil and criminal convictions achieved by the Kano zone. She stated that the Kano zone recorded 160 criminal convictions losing only two and 180 civil convictions losing only one. She said that this puts the conviction rates at over 90 per cent. (NAN)",2nd December 2022,Agency Report,"""https://punchng.com/efcc-secured-3440-convictions-in-2022-bawa/""",359,85,40,14,-0.13,Bad News
7,Irate youths set Osun monarch's palace ablaze  ,"The Palace of Aree of Iree in Boripe North Local Council Development Area of Osun State  was on Thursday evening, vandalised and set on fire by angry youths in the town. The palace was said to have been burnt by youths who were not pleased about the arrest of the Aogun of Iree, Chief Soliu Atoyebi, by security agents on Thursday morning. It was attacked and burnt around 7.00 p.m, when the traditional ruler, Oba Ponle Ademola, was said to be out of the palace. The incident led to the blockage of major roads leading to the town, while the aggrieved youths made burn fires on the roads. Business owners in the town were said to have immediately locked up their shops, while residents too locked up themselves for safety measures. The Osun Police Spokesperson, SP Yemisi Opalola, was not available for comments, as her phone was switched off. Related News  Foundation supports youths  APC campaign says Tinubu presidency will uplift youths  I will represent youths in NASS - 30-year-old PDP candidate NAN recalled that Gov. Ademola Adeleke of Osun, had on Monday, a day after his inauguration, issued an Executive Order, setting aside the appointment and enthronement of three traditional rulers, Aare of Iree; Akirun of Ikirun and Owa of Igbajo. Adeleke also directed that the palaces of the three traditional rulers should be locked up, while security agents should take charge of the palaces to prevent the breakdown of law and order. There had been palpable fear in Iree Town following the appointment and approval of Prince Ponle Ademola as the Aree of Iree by the immediate past administration of Gboyega Oyetola. Some ruling houses and groups in the town had rejected the selection of Ademola, alleging that he was imposed on the people by officials in the Oyetola’s administration. NAN",2nd December 2022,Agency Report,"""https://punchng.com/irate-youths-set-osun-monarchs-palace-ablaze/""",303,82,41,13,-0.14,Bad News
8,"Ex-CAN president Onaiyekan, cleric bag honorary degrees Saturday  ","A former national president of the Christian Association of Nigeria  Cardinal John Onaiyekan and the Archbishop of Abuja catholic diocese, Ignatius Kaigama, will be honored with honorary doctorate degrees by an Abuja-based Catholic institution, Veritas University, on Saturday, December 3, 2022. The Vice-Chancellor of the university, Rev. Fr. Professor Hyacinth Ichoku, made this known in a briefing with selected journalists in Abuja. Speaking on Thursday ahead of the convocation ceremony of the university, the don also noted that four countries had indicated interest to send their students to Nigeria to study pontifical degrees in the theology of philosophy. The development follows approval by the Congregation for Catholic Education in the Vertical City Rome, Italy, to Veritas University Abuja to establish Pontifical Faculty. The countries are Burkina Faso, Mali, Ivory Coast and India. Related News  European Catholic varsity honours writer Chimamanda Adichie  Nigerian politicians interested in enriching themselves, says Onaiyekan  Nigeria may split before 2023 elections – Onaiyekan Professor Ichoku said only two countries including Nigeria and Nairobi run the pontifical degree which necessitated the influx of foreign students to Nigeria. “For the first time, the university will be honoring prominent Nigerians such as the former CAN president, cardinal John Onaiyekan and the archbishop of Abuja diocese, Archbishop Ignatius Kaigama. ‘’Veritas University has been granted the faculty to run Pontification degrees in theology and philosophy by the Congregation of Catholic Education in the Vertical City, Rome. That is in addition to National Universities Commission-approved programmes in theology and philosophy. As a Catholic University to be granted the power of the faculty to run these programmes is the height of our development and in Africa; there are just two granted such faculty, which are, the Catholic University of East Africa, Nairobi and Veritas University in Abuja. It is an exceptional privilege for us,’’ Professor Ichoku stated. Professor Ichoku said the university would be awarding first-class degrees to 28 students who had distinguished themselves in character and learning. He noted that the minister of Works and Housing, Babatunde Fashola would be delivering the convocation lecture.",2nd December 2022,Deborah Tolu-Kolawole,"""https://punchng.com/ex-can-president-onaiyekan-cleric-bag-honorary-degrees-saturday/""",342,56,41,15,-0.04,Bad News
9,Fintiri mourns as three die&nbsp;in convoy crash  ,"Governor Ahmadu Fintiri of Adamawa State on Thursday mourned the death of three persons killed in a crash involving a Toyota Hilux Van conveying some vigilantes who were part of his campaign entourage to the Gella Mubi South area of the state. Fintiri  while speaking to his supporters in Gella, Mubi South, said he was grief-stricken and called on members of the Peoples Democratic Party at the occasion to observe a minute silence for the deceased persons. “The party is mourning today the death of three persons who were part of the entourage and lost their lives in a car crash,” Fintiri said. The PUNCH had reported that the crash occurred around Fadamareke, in the Hong Local Government Area, 80 kilometers away from Mubi Town. Among the dead were the leader of the vigilantes, Bako Kaura; the son of the head of Fintiri/Farauta vigilance group, Adamu Kaura; and another occupant of the vehicle. Related News  Adamawa gov presents N175bn 2023 budget  Court nullifies Adamawa APC gov primary  The dirty politics of Mararaba-Dumne Road A resident, who spoke to our reporter, said the spot where the accident occurred was notorious for road crashes. He disclosed that residents helped to retrieve three lifeless bodies incthe van moments before Fintiri’s convoy arrived at the scene. Only last week, the governor narrowly escaped death when a truck, which lost control, almost rammed into his motorcade. Two policemen, who sustained serious injuries from the crash, were rushed to the state specialist hospital for treatment.",2nd December 2022,Hindi Livinus,"""https://punchng.com/fintiri-mourns-as-three-die-in-convoy-crash/""",249,76,30,9,-0.18,Bad News
